Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,10163.18,,,,,,,,13916.0,,,,,,,,,,
Albania,1143.87,1183.56,1161.72,1256.43,1309.77,1313.34,1573.32,1602.93,1617.21,1747.62,2155.55,2115.88,2072.43,2097.86,2135.68,2062.83,2121.02,2038.51,1927.65,1984.17,1984.18,1984.17,1984.17,1984.17,1984.17,1984.17,1984.16,1984.17,1984.17,1441.8,883.46,847.66,1513.89,1138.08
Algeria,,,,,18753.0,,,,,,32922.13,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,15931.23,,,,,19932.36,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,98.91,,,,,,,,,,142.17,,,,,,,,,,,,,,,,,,,,,,,
Argentina,76790.2,,,,82725.07,,,82099.27,,,84849.65,,,,,,,,,,75074.92,,77139.66,,,,,,,,,,,
Armenia,3169.3,3036.92,2904.54,2772.17,2639.79,2507.41,2375.03,2242.65,2110.28,1977.9,1845.52,1898.73,1951.93,2005.14,2058.35,2111.55,2164.76,2188.85,2212.94,2237.02,2261.11,2261.1,2261.11,2261.1,2261.11,2261.11,2261.11,2261.1,2261.11,1608.4,1030.86,989.1,1688.82,1287.78
Australia,4975.33,4972.35,4949.66,4804.72,4673.4,4606.33,4614.23,4727.96,4686.15,4520.94,4667.97,4611.97,4540.3,4322.55,4408.02,4476.36,4453.77,4442.61,4374.14,4335.54,4250.36,4331.16,4316.28,4288.74,4202.84,4214.75,4234.96,4326.83,4381.29,,,,,
Austria,415.66,410.66,399.27,395.9,384.3,381.22,369.11,357.02,349.83,342.59,335.72,329.39,323.74,321.21,321.35,312.0,308.01,303.81,298.78,295.73,292.35,284.34,280.27,276.28,271.1,268.08,265.7,265.04,257.55,204.87,140.56,135.87,215.11,194.14
Azerbaijan,13459.35,12482.4,10730.37,9874.62,9233.28,9617.79,9042.81,8867.46,8525.16,8874.81,8839.66,9598.47,9598.26,9691.5,9846.27,10393.96,11375.38,13804.2,17617.6,17263.73,17474.25,17081.08,17593.8,15997.72,15997.72,15997.72,15997.71,15997.72,15997.72,12832.08,8635.68,8444.18,13473.68,11949.35
Bahamas,21.0,,,,21.0,,,,,,25.62,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,2945.04,,,,,,3906.0,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,25007.66,,,,,,,35343.84,,,,39465.3,,,,,,,,,,,,,,,,,,
Barbados,1662.57,,,,1787.52,,,1808.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,698.34,655.49,604.63,572.36,542.35,514.64,512.32,515.41,515.03,496.99,491.45,488.87,485.89,491.66,523.38,513.08,530.11,540.27,578.91,583.15,606.03,601.63,614.64,631.09,634.15,639.95,631.36,637.26,643.9,369.97,247.75,233.11,388.47,307.54
Belgium,488.61,487.15,483.97,481.86,483.68,486.72,480.39,475.92,469.24,458.9,441.1,423.07,405.6,382.76,380.69,370.83,366.77,364.37,356.44,353.84,351.77,341.23,335.69,329.47,324.76,325.09,324.05,317.28,313.95,227.98,157.12,151.89,239.38,215.46
Belize,,,,,5565.82,,,,,,141.54,,,191.24,,,230.04,,,261.72,,,,,,,,,,,,,,
Benin,,,,,,38015.11,,,,,2323.65,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,403.83,,,,,,592.83,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),9351.72,,,,11673.69,,,,12288.78,,12764.85,,11024.09,,11973.06,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,4454.52,4345.53,3037.02,1053.99,1195.11,1380.75,1865.64,2080.26,2278.92,2368.8,2382.45,2418.78,2446.46,2474.15,2501.84,2529.52,2557.2,2584.89,2612.58,2640.26,2667.94,2695.63,2723.32,2751.0,2478.0,2478.0,2478.0,2477.99,2478.0,2026.24,1273.85,1169.55,2127.55,1534.77
Botswana,,,,,4238.68,,,,,,2160.54,,,,,,,,,,,,,,,4067.23,,,,,,,,
Brazil,232927.8,240124.5,244379.1,245527.8,250443.9,255393.6,249784.5,254480.1,257447.4,262161.9,269304.0,278665.8,288575.7,301723.8,314638.8,321060.6,320077.8,308441.7,314244.0,320331.9,326474.4,334055.4,331947.0,338570.4,341751.9,346019.1,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,3490.94,,,,,,,,,,,,,
