Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,5942.65,,,,,,,,19610.0,,,,,,,,,,
Albania,96.1,136.4,108.5,96.1,96.11,93.0,83.7,77.5,74.4,77.5,111.72,114.82,114.83,114.82,117.92,114.97,117.92,117.89,120.98,120.96,120.97,120.96,120.95,120.96,120.95,120.96,120.95,120.96,120.97,102.02,60.05,56.49,107.12,103.62
Algeria,,,,,9300.0,,,,,,6500.7,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,13940.7,,,,,13869.4,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.58,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,,,,,
Argentina,51823.68,,,,56689.61,,,62089.62,,,67503.73,,,,,,,,,,75178.82,,73154.41,,,,,,,,,,,
Armenia,169.57,200.69,231.82,262.94,294.07,325.19,356.31,387.44,418.56,449.69,480.81,514.5,548.18,581.87,615.56,649.24,682.93,633.21,583.5,533.78,484.07,484.08,484.07,484.06,484.07,484.06,484.07,484.06,484.07,373.58,218.25,209.66,392.26,388.31
Australia,53.48,52.21,51.57,53.14,54.75,52.3,56.55,59.22,60.04,61.7,64.99,66.06,67.83,63.83,69.46,69.78,69.54,64.29,65.21,66.51,66.15,68.72,69.87,65.95,67.44,65.63,65.66,71.36,67.5,,,,,
Austria,14.5,14.61,13.98,14.08,13.92,14.24,14.34,14.43,14.59,14.56,14.49,14.08,14.09,14.06,12.09,12.09,12.12,12.16,12.77,12.02,11.37,11.68,11.58,11.53,11.81,11.84,12.15,11.95,11.83,75.76,44.65,41.8,79.55,78.47
Azerbaijan,3772.7,1925.1,2132.8,1701.9,1429.1,1295.8,1308.2,1515.9,1729.8,2346.7,2343.6,2548.2,2700.1,2777.6,2879.9,2852.0,2873.7,3084.5,3025.6,3193.0,3137.2,3087.6,3422.4,2767.12,2767.11,2767.12,2767.13,2767.12,2767.11,2152.38,1222.64,1123.47,2260.0,2098.41
Bahamas,,,,,310.0,,,,,,38.51,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,40.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,4458.76,,,,,,,16414.5,,,,19114.6,,,,,,,,,,,,,,,,,,
Barbados,49.6,,,,49.6,,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,55.77,54.2,48.47,48.96,41.79,38.96,41.68,42.99,52.52,41.1,41.7,41.72,37.32,39.33,40.66,41.94,44.29,43.95,46.37,47.35,46.88,49.48,48.49,48.21,47.31,46.35,46.89,48.44,47.05,81.96,47.89,44.9,86.06,83.58
