Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,13.86,,,,,,,,,,,,,,,,,,
Albania,0.57,0.91,0.6,0.61,0.57,0.54,0.51,0.45,0.43,0.38,0.57,0.65,0.66,0.74,0.82,0.27,1.02,1.19,1.34,1.6,1.59,1.6,1.61,1.6,1.61,1.6,1.59,1.6,1.59,4.83,2.56,2.52,5.07,4.88
Algeria,,,,,39.69,,,,,,45.64,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2.83,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,
Argentina,79.2,,,,99.97,,,96.37,,,87.62,,,,,,,,,,114.63,,119.38,,,,,,,,,,,
Armenia,0.39,0.42,0.44,0.46,0.49,0.52,0.54,0.57,0.59,0.62,0.64,5.08,9.51,13.95,18.39,22.82,27.26,27.8,28.35,28.9,29.44,29.45,29.44,29.45,29.44,29.44,29.44,29.43,29.44,7.12,3.35,2.71,7.48,4.07
Australia,1585.75,1570.78,1652.95,1743.16,1764.91,1674.1,1762.21,1818.19,1743.77,1832.66,2343.29,2585.1,2775.52,2775.02,2512.63,2520.31,2482.62,2444.42,2511.92,2598.01,2378.2,2507.1,2518.19,2414.34,2499.95,2384.65,2465.53,2286.54,2121.03,,,,,
Austria,73.63,70.66,54.13,52.75,47.11,46.73,43.87,40.34,35.57,33.68,31.5,32.38,31.3,31.09,26.49,25.86,26.69,23.34,20.23,14.7,15.94,15.12,14.75,14.34,14.44,13.88,13.22,12.75,11.67,4.39,2.32,2.2,4.61,4.23
Bahrain,,,,,1177.63,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,0.18,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,3.5,3.54,2.89,2.27,2.23,2.24,2.4,2.84,3.16,3.38,3.53,3.52,3.67,3.87,4.06,4.4,4.73,4.85,4.94,4.23,4.71,4.8,5.01,4.96,5.23,4.48,4.85,3.62,4.81,4.79,2.53,2.49,5.03,4.83
Belgium,364.75,367.21,358.34,332.91,290.48,257.94,247.67,225.8,212.24,173.63,170.81,165.23,156.71,152.37,155.24,143.4,134.04,123.64,95.74,74.3,60.53,53.16,47.31,42.92,40.43,40.8,39.8,38.35,37.97,18.48,9.34,8.89,19.4,15.46
Belize,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,0.17,,,,,13.88,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,0.05,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),11.16,,,,13.03,,,,13.68,,12.1,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,453.16,397.98,124.8,29.19,31.66,33.72,126.11,178.17,230.91,236.28,223.37,213.74,230.26,246.78,263.3,279.83,296.35,312.87,329.39,345.91,362.44,378.96,395.48,412.0,516.0,515.99,516.0,515.99,516.0,487.47,250.44,235.72,511.84,449.19
Bulgaria,446.05,375.1,386.88,385.18,373.25,377.05,380.79,420.16,403.68,337.12,334.17,384.35,352.65,389.8,378.88,372.55,376.2,425.57,422.03,383.33,410.85,493.07,428.89,368.99,393.11,427.55,378.6,410.04,359.55,360.68,175.77,160.62,378.71,256.41
Burkina Faso,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
Cambodia,,,,,25.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,2.53,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
Chile,255.2,,,2005.6,320.1,,,,,,338.4,,,,,,892.97,,,,364.0,,,358.7,,,357.4,,,,,,,
Colombia,141.81,,,,170.27,,,,,,159.33,,,,142.81,,,,,,,,,,,,,,,,,,,
Comoros,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,2.07,,,,4.0,,,,,4.85,,,,,,,,,,,,,,,,,,
Croatia,168.12,99.6,104.35,111.96,99.24,77.0,61.47,76.9,95.34,95.22,60.17,58.93,62.8,63.54,51.92,58.36,54.46,59.83,53.21,56.18,35.2,29.17,24.54,17.17,13.87,15.69,14.58,12.48,10.16,4.65,2.82,2.77,5.03,5.07
Cuba,477.49,,,,,,,,,,513.66,,622.51,,,,,,,,,,,,,,,,,,,,,
Cyprus,31.75,33.05,37.91,40.12,42.65,39.7,41.68,44.0,47.31,49.67,48.39,45.53,45.97,47.43,40.36,37.92,31.53,29.5,22.41,17.76,21.95,20.95,16.28,13.86,16.98,13.07,16.26,16.54,17.71,4.33,2.31,2.31,4.55,4.3
Czechia,1754.55,1650.35,1381.94,1302.88,1159.41,1058.96,914.43,694.44,425.34,231.92,233.0,228.71,223.4,218.38,215.09,208.43,206.72,212.02,170.06,168.72,163.83,167.56,160.16,145.21,134.45,129.33,115.1,109.92,96.51,63.28,50.86665,49.00916,93.69,86.61
Côte d’Ivoire,,,,,,,,,,,4079.55,,,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,3121.0,,,,2368.0,,,,,,1298.0,,1384.0,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
Denmark,179.06,239.69,185.11,150.06,152.4,146.58,177.1,105.2,81.51,60.52,33.58,30.86,29.36,36.34,29.8,27.34,31.4,28.34,22.1,16.23,16.26,15.04,13.34,13.46,11.44,10.59,11.05,11.3,11.82,5.78,3.08,3.01,6.07,4.75
Dominica,,,,,0.15,,,,,,0.18,0.21,0.19,0.2,0.19,0.22,,,,,,,,,,,,,,,,,,
Dominican Republic,77.06,,,,116.34,,,,75.25,,110.15,,,,,,,,,,1.11,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,146.45,,,,,,,,,,,,,,,,,,
Estonia,222.03,202.9,147.15,116.32,116.14,103.23,106.56,101.79,91.58,86.84,80.14,75.52,74.08,86.74,76.38,64.37,57.03,78.98,60.23,44.81,73.39,63.89,30.23,26.36,31.36,24.33,27.52,31.83,35.96,6.19,2.93,2.85,6.5,6.3
Eswatini,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,11.1,9.1,9.1,11.1,2.71,,,,,,,,,,,,,,,,,,,8.74,,,,,,,,,,
Fiji,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,250.34,202.29,158.1,138.12,123.67,104.97,110.42,101.59,93.69,91.28,81.0,90.31,91.13,102.45,84.56,69.1,84.04,82.76,67.7,59.54,67.13,60.4,50.95,48.32,43.2,41.83,39.77,35.49,33.39,7.83,3.29,3.59,8.22,6.43
France,1320.52,1420.34,1289.76,1128.51,1063.61,1007.17,994.62,852.79,888.34,766.36,672.06,613.02,568.33,546.31,529.61,503.57,476.32,454.54,383.32,325.78,309.09,272.54,266.42,247.67,205.5,198.99,183.52,183.44,180.04,85.77,44.56,44.3,90.06,78.29
Gabon,,,,,1.0,,,,,,7.67,,,,,,,,,,,,,,,,,,,,,,,
Georgia,20.26,20.26,20.26,20.25,20.26,20.27,16.25,12.23,8.22,4.2,0.19,1.27,0.2,0.28,0.34,0.44,1.0,0.4,1.3,1.8,0.28,0.46,0.48,2.54,2.55,2.54,2.55,2.54,2.55,4.84,2.53,2.47,5.08,4.8
Germany,5442.58,3974.57,3246.36,2910.79,2424.36,1750.89,1483.46,1233.09,986.38,805.74,650.4,629.22,565.89,538.82,497.39,477.2,475.63,458.79,453.75,395.27,405.12,389.12,371.56,359.9,339.1,335.77,311.17,301.45,288.68,169.72,86.59,75.82,178.21,100.68
Ghana,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Greece,510.95,503.21,518.51,508.89,526.98,520.66,521.3,554.18,578.34,563.97,562.58,573.47,557.78,564.79,565.3,585.08,545.03,529.48,457.94,410.76,231.0,168.25,141.97,130.5,114.48,112.13,107.36,105.55,98.99,53.74,26.29,26.08,56.43,57.95
Guatemala,74.5,,,,74.61,,,,,,98.46,,,,,52.29,,,,,,,,,,,,,,,,,,
Guinea,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,7.5,7.5,7.5,7.5,7.5,8.1,7.7,8.2,9.0,7.0,7.1,6.8,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,
Haiti,,,,,8.8,11.96,12.51,14.58,14.18,14.37,13.58,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,0.3,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,
Hungary,829.73,832.66,715.44,719.99,629.73,614.1,611.94,625.52,565.97,558.5,427.24,346.33,272.35,246.0,151.45,42.96,39.2,36.28,35.87,29.76,30.47,34.3,30.54,29.39,26.03,24.31,23.14,27.82,23.04,53.9,26.31,26.95,56.59,47.82
Iceland,24.03,22.33,24.72,24.76,23.35,22.24,24.71,24.73,24.44,32.51,38.77,41.72,44.93,41.45,36.3,42.51,42.36,60.46,77.36,71.8,81.76,84.13,87.06,72.01,65.38,60.54,51.57,49.65,54.71,27.0,10.93,6.47,28.35,5.08
Iran (Islamic Republic of),,,,,29.13,,,,,,139.46,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,3909.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,182.93,183.15,170.92,161.95,177.09,163.17,150.05,168.93,179.71,161.09,144.22,142.26,106.64,82.63,73.25,73.05,60.78,54.94,45.61,32.76,26.57,25.02,23.49,23.59,16.95,15.08,13.71,13.46,12.17,9.07,4.7,4.6,9.52,8.47
Israel,,,,,,,281.13,,,,270.98,,,235.53,219.28,197.99,182.1,178.18,168.3,154.24,145.37,153.18,151.25,126.17,100.31,100.43,86.13,67.43,56.2,,,,,
Italy,1783.86,1672.65,1574.23,1471.75,1389.49,1322.67,1213.9,1138.37,1004.29,903.67,756.22,704.49,623.29,524.48,487.8,409.62,387.84,345.37,290.1,237.46,218.48,196.24,177.97,146.56,131.58,124.49,116.95,115.42,110.45,106.48,56.82,55.58,111.8,96.91
Jamaica,,,,,99.7,,,,,,,,,,,,18.71,19.05,18.62,17.35,16.65,,15.99,,,,,,,,,,,
Japan,1250.0,1241.0,1199.47,1155.2,1212.32,1202.97,1158.13,1193.67,1119.5,1136.93,1130.87,1124.15,1115.08,1088.31,1058.25,1010.67,970.29,926.76,860.19,802.59,772.12,727.95,724.16,715.46,706.51,701.73,700.92,695.31,694.93,,,,,
Jordan,,,,,,,,,,,186.41,,,,,,138.0,,,,,,,,,,,,,,,,,
